url,id,crawled,status,crawlingDate
https://nhadatvui.vn/can-ban-gap-1306-7m-gia-ngop-470-trieu-1657442735,1657442735,0,available,
https://nhadatvui.vn/ban-nha-ba-dinh-50m2-16-ty-noi-that-lung-linh1657442442,1657442442,0,available,
https://nhadatvui.vn/-binh-thanh-hem-4m-69-no-trang-long-4-x-15m-3-lau-chi-8-4-ty1657441616,1657441616,0,available,
https://nhadatvui.vn/ban-can-1pn-toa-s5-full-noi-that-view-thoang1657441443,1657441443,0,available,
https://nhadatvui.vn/chinh-chu-can-ban-nha-10m-ra-mat-tien-hxh-ngang-8m-ham-ho-1654676235,1654676235,0,available,
https://nhadatvui.vn/chinh-chu-can-ban-tp-thu-duc-xe-hoi-vao-nha-148m2-5x30-7-2-ty-gap-ban-1654758081,1654758081,0,available,
https://nhadatvui.vn/chu-ngop-bank-nha-dep-thu-duc-btct-gara-xe-hoi-128m2-ngang-8m-be-the-nhinh-9-ty-1655169518,1655169518,0,available,
https://nhadatvui.vn/chinh-chu-can-ban-tp-thu-duc-chu-ngop-bank-70m2-hxh-5-tang-btct-chac-chan-8-5-ty-xoan-ban-1654848080,1654848080,0,available,
https://nhadatvui.vn/chu-gap-ban-hem-can-bo-noi-that-900tr-xe-hoi-thong-ban-co-4-tang-day-du-gop-lua-1655612124,1655612124,0,available,
https://nhadatvui.vn/chu-ngop-bank-nha-tuong-lai-ra-mat-tien-70m2-hxh-gap-ban-chi-5-1-ty-1655862717,1655862717,0,available,
https://nhadatvui.vn/nha-dep-1-lau-tan-ky-tan-quy-hem-xh-3-5-x-10m-chi-4-4-ty-bot1657439609,1657439609,0,available,
https://nhadatvui.vn/chuyen-noi-o-nen-can-ban-gap-lo-dat-sao-giap-kcn1657439375,1657439375,0,available,
https://nhadatvui.vn/ban-dat-rieng-chinh-chu-so-ki-ban-truc-tiep-vinh-loc-b-binh-chanh-tp-hcm1657439144,1657439144,0,available,
https://nhadatvui.vn/ban-gap-nha-pho-tran-xuan-soan-39m-4t-gan-pho-thoang-2-mat1657412870,1657412870,0,available,
